"x","Cell","Batch","Gene1","Gene2","Gene3","Gene4","Gene5","Gene6","Gene7","Gene8","Gene9","Gene10","Gene11","Gene12","Gene13","Gene14","Gene15","Gene16","Gene17","Gene18","Gene19","Gene20","Gene21","Gene22","Gene23","Gene24","Gene25","Gene26","Gene27","Gene28","Gene29","Gene30","Gene31","Gene32","Gene33","Gene34","Gene35","Gene36","Gene37","Gene38","Gene39","Gene40","Gene41","Gene42","Gene43","Gene44","Gene45","Gene46","Gene47","Gene48","Gene49","Gene50","Gene51","Gene52","Gene53","Gene54","Gene55","Gene56","Gene57","Gene58","Gene59","Gene60","Gene61","Gene62","Gene63","Gene64","Gene65","Gene66","Gene67","Gene68","Gene69","Gene70","Gene71","Gene72","Gene73","Gene74","Gene75","Gene76","Gene77","Gene78","Gene79","Gene80","Gene81","Gene82","Gene83","Gene84","Gene85","Gene86","Gene87","Gene88","Gene89","Gene90","Gene91","Gene92","Gene93","Gene94","Gene95","Gene96","Gene97","Gene98","Gene99","Gene100","Group"
"1","Cell1","Batch1",0,23,0,8,821,136,1288,92,13,227,149,128,0,7422,266,15,3230,37,122,2398,23,8,3,1636,37,1595,79,55,169,4,25,51,3648,27,334,0,58,481,3,44,253,1778,2937,763,101,65,6012,3,195,24,231,1302,14,316,2,2329,52,200,46,367,240,196,1699,6,2,2254,29,252,43,286,24,143,4899,123,1068,0,161,527,0,33,51,35,13,1,565,3,31,179,24,227,68,4648,2,40,94,328,83,1,55,24,"Group2"
"2","Cell2","Batch1",0,37,0,28,1401,146,1435,189,25,219,290,112,0,8022,474,35,7786,41,116,3634,40,12,27,2242,52,2317,54,45,309,2,20,84,5591,25,463,1,94,465,9,56,374,1449,3751,1181,97,112,3837,24,387,35,400,1911,39,364,3,3027,80,280,51,495,255,214,2392,6,2,4068,29,397,40,248,28,164,7931,216,1724,2,314,627,1,92,81,55,9,3,842,0,36,290,42,383,213,5701,11,56,130,441,131,1,35,45,"Group1"
"3","Cell3","Batch1",0,13,0,5,960,78,1044,96,11,201,181,123,2,4607,263,31,3335,15,78,2287,31,13,3,1219,96,1618,62,47,126,2,11,51,3987,33,274,4,54,361,4,51,309,1019,2747,855,56,105,5872,9,159,31,243,1043,39,342,2,2535,56,195,28,315,156,120,1639,6,2,2181,15,280,35,300,9,113,5711,141,1294,2,130,382,4,82,54,29,5,5,431,0,19,168,25,205,158,4114,7,31,81,289,98,0,21,27,"Group2"
"4","Cell4","Batch1",0,18,0,7,729,82,1069,83,20,158,164,145,0,5867,284,14,3455,57,66,2391,40,6,7,1931,56,1541,30,58,230,0,8,52,3437,28,273,2,45,425,1,35,299,1560,2437,786,46,79,6030,7,179,5,232,1165,12,264,3,1772,64,184,33,259,159,134,1457,5,2,2148,23,272,23,222,23,94,5618,147,1194,7,163,292,11,53,36,24,6,4,458,0,40,133,30,187,139,3782,4,24,76,222,66,2,68,23,"Group2"
"5","Cell5","Batch1",0,17,0,7,540,98,788,75,5,111,120,87,0,4570,141,16,2412,27,50,1291,36,8,10,1029,40,998,44,30,146,7,7,25,2426,22,313,0,46,260,2,31,174,903,1691,559,80,31,4766,10,159,14,141,955,14,201,2,1363,63,126,28,208,150,83,1092,4,1,1711,18,232,16,139,11,62,3546,57,826,1,105,326,1,41,46,27,10,0,316,1,32,131,24,111,98,3171,4,26,93,171,100,2,32,3,"Group2"
"6","Cell6","Batch1",0,38,0,6,651,90,882,104,27,167,177,143,0,5595,265,21,3590,53,64,2317,26,21,18,1919,96,1175,62,20,186,5,14,65,3451,41,312,1,56,404,4,41,319,1412,3558,1134,62,83,7186,1,118,14,267,1168,29,325,3,2379,49,227,33,306,214,136,1117,7,1,2248,13,344,48,248,27,159,5513,140,900,1,220,410,0,20,51,15,10,1,405,0,31,144,43,235,149,3771,15,29,116,277,122,5,31,27,"Group2"
"7","Cell7","Batch1",0,20,2,15,1499,133,1351,172,14,275,312,256,0,8919,405,42,4229,16,179,2593,39,38,38,1911,163,1957,54,62,250,17,5,140,5734,39,493,1,126,417,3,54,366,1900,3851,1119,100,96,4325,21,273,31,409,2076,36,332,2,2528,62,219,64,405,234,186,2104,7,11,3915,24,297,59,318,50,191,7583,179,1315,0,237,463,0,79,125,22,19,1,651,0,52,247,49,246,128,6415,5,41,148,466,181,4,29,25,"Group1"
"8","Cell8","Batch1",0,18,0,12,757,113,1275,218,13,322,225,96,0,8314,329,44,4298,23,92,2849,32,13,10,1690,86,1515,75,41,218,7,18,50,3386,18,279,2,97,315,1,48,176,1250,2695,1291,91,79,3473,4,210,30,259,1420,31,274,3,2801,56,233,41,293,223,171,2004,15,2,3706,17,278,43,238,22,100,4226,152,1398,6,240,505,0,55,70,17,9,2,659,1,18,168,33,246,115,3977,3,27,127,213,103,1,22,6,"Group1"
"9","Cell9","Batch1",0,25,0,16,866,110,1187,93,25,151,135,101,0,4998,290,20,3496,19,79,2099,38,13,6,1413,32,1297,45,37,200,5,14,51,2437,48,307,0,55,240,7,55,238,1270,2523,662,51,57,5685,20,142,12,216,1256,21,354,4,2283,31,198,34,351,209,189,1664,7,0,1998,19,249,54,216,23,112,3703,126,1052,4,177,381,1,28,57,18,7,9,489,2,22,114,22,157,126,3610,2,23,141,235,73,0,40,10,"Group2"
"10","Cell10","Batch1",0,17,0,9,1244,58,951,139,27,197,183,114,0,5203,278,26,4100,23,91,2637,26,1,20,1833,47,1531,26,26,200,2,8,98,3963,23,338,0,95,273,8,55,196,1556,3100,884,57,71,3888,12,170,18,211,1324,17,321,4,2877,50,177,35,300,203,176,1636,4,1,3198,27,294,52,250,43,143,5759,143,846,1,248,337,1,35,51,22,18,8,510,0,39,236,30,230,144,5185,5,49,98,294,89,0,31,26,"Group1"
