"x","Cell","Group","Batch","Gene1","Gene2","Gene3","Gene4","Gene5","Gene6","Gene7","Gene8","Gene9","Gene10","Gene11","Gene12","Gene13","Gene14","Gene15","Gene16","Gene17","Gene18","Gene19","Gene20"
"1","Cell1","Group1","Batch1",225,21499,766,163,629,2732,11367,3,21230,156,2124,18,273,277,534,11819,572,31,22,36
"2","Cell2","Group2","Batch1",266,18107,923,151,688,1760,8366,3,21568,179,2534,28,214,514,663,9557,495,29,10,37
"3","Cell3","Group1","Batch1",65,11901,424,76,439,1142,4650,1,8896,53,783,15,118,155,322,6317,256,13,0,29
"4","Cell4","Group1","Batch1",188,19168,844,152,570,1687,8350,0,19830,156,1613,25,222,409,519,8495,488,33,10,65
"5","Cell5","Group1","Batch1",158,16747,602,101,468,1871,7847,0,17983,112,1756,9,166,207,424,9841,411,21,16,40
"6","Cell6","Group1","Batch1",167,22237,518,133,549,1433,6783,0,15568,121,1527,30,163,276,502,8626,313,15,2,44
"7","Cell7","Group2","Batch1",179,29284,988,148,726,2707,7573,0,21302,204,3661,19,239,694,562,11659,545,34,7,74
"8","Cell8","Group1","Batch1",109,19884,805,99,574,1577,6632,1,18639,112,1119,11,203,282,456,8273,511,25,11,37
"9","Cell9","Group1","Batch1",127,20261,468,160,562,1542,7384,4,18894,142,1143,25,219,367,557,7982,423,27,12,42
"10","Cell10","Group1","Batch1",103,13001,541,103,555,1334,6609,1,16963,120,1600,23,249,200,353,9305,344,3,11,37
"11","Cell11","Group1","Batch2",187,96,97,5,4,2692,13,0,54148,171,154,92,0,39,218,57,23,3,0,13
"12","Cell12","Group1","Batch2",143,58,108,14,4,2741,35,0,53868,169,106,35,1,31,194,65,19,1,0,4
"13","Cell13","Group1","Batch2",196,121,139,14,18,3261,38,0,69434,236,203,108,1,64,295,63,26,7,0,13
"14","Cell14","Group1","Batch2",101,105,105,3,5,2957,26,0,54190,240,173,46,7,27,188,30,20,2,2,4
"15","Cell15","Group1","Batch2",239,113,138,11,15,3684,33,0,91492,460,165,97,0,34,318,65,47,0,0,14
"16","Cell16","Group2","Batch2",146,88,93,11,10,3005,43,1,65393,208,249,49,0,84,258,31,14,0,4,11
"17","Cell17","Group1","Batch2",163,110,169,8,11,2927,25,0,64154,173,150,68,0,66,280,48,17,2,0,1
"18","Cell18","Group1","Batch2",145,73,146,4,8,3250,37,0,59140,198,126,52,0,42,280,43,24,2,2,4
"19","Cell19","Group1","Batch2",84,85,82,9,7,3087,20,0,59000,191,107,51,3,19,224,26,36,2,0,12
"20","Cell20","Group1","Batch2",228,83,187,17,11,4092,37,0,81209,431,245,107,0,65,295,59,21,5,0,11
"21","Cell21","Group1","Batch3",490,27573,1146,1257,822,17347,5031,6,7796,411,96,2927,125,743,643,5576,241,34,1,44
"22","Cell22","Group1","Batch3",434,18959,1322,1391,802,18513,6311,3,7996,322,147,3141,144,1142,704,7042,292,32,1,59
"23","Cell23","Group2","Batch3",511,13954,1141,1125,709,14666,5753,2,6070,244,329,3163,131,1367,582,4370,264,31,1,46
"24","Cell24","Group2","Batch3",373,13159,1447,971,678,13880,4600,2,7499,422,257,2943,120,1810,593,4327,285,30,1,50
"25","Cell25","Group1","Batch3",682,22975,1696,1369,980,19455,6515,8,9983,672,246,3886,166,1193,820,8497,267,47,1,106
"26","Cell26","Group2","Batch3",406,15770,1836,1084,788,19062,4444,2,6365,388,219,3295,152,1950,681,5076,358,26,2,47
"27","Cell27","Group1","Batch3",532,23950,1654,1615,1027,23850,5944,0,10052,751,270,5058,151,942,709,7484,345,27,0,82
"28","Cell28","Group2","Batch3",384,17421,1178,1107,857,15849,4587,4,5708,431,162,3127,97,1459,569,5081,206,46,0,33
"29","Cell29","Group2","Batch3",404,17379,1508,1041,726,13799,4746,5,7284,394,166,2353,103,1632,552,4684,216,34,0,47
"30","Cell30","Group1","Batch3",335,11837,945,840,657,10754,3517,3,4462,306,98,2358,83,569,416,3832,214,23,0,29
